time	duplex	start1	end1	start2	end2	axisX	axisY	axisZ	hel_pos
0	0	0	12	1777	1789	0.9890308504931372	0.1246396768364443	0.07926492118792816	[0.9007837703444851,-4.9887194108656,-3.395077661885308]
0	1	13	20	239	246	0.9003489172979701	0.3942070510264384	-0.18431665155761742	[-1.876773571969882,0.3752991383849305,-8.364982077916455]
0	2	21	29	1760	1768	0.838399288981795	0.49676037609651374	-0.22431174952567856	[-3.3073709793576707,2.768855907012117,-6.229899141364982]
0	3	30	37	476	483	0.8304915209643097	0.3112024587866182	-0.4619922761817033	[-4.586835845712687,-0.030109826994543096,-8.26571942214026]
0	4	38	45	1744	1751	0.9473639311769064	0.18921739098172013	0.2582602579862197	[-0.3377618416581228,-0.05606447946062354,1.2800721381712556]
0	5	46	53	714	721	0.9376976869872233	0.32447014610206865	-0.12426653655475137	[-0.7053341355576013,1.2884727337223112,-1.9580432355486006]
0	6	54	62	1727	1735	0.9626494846037384	-0.1846862506875672	0.19798221788616716	[-0.478978716251002,-0.42864142894609997,1.9290845410842086]
0	7	63	70	957	964	0.9934339848821272	0.05833325457681906	0.09841823556482579	[-0.21176904766114824,0.6000380514266116,1.7819502196576607]
0	8	71	78	1711	1718	0.9309508940324607	-0.3643597425862576	-0.023925109877248857	[-0.2947471697800426,-1.0123780894617431,3.948766770171396]
0	9	79	86	1195	1202	0.9782883836148877	-0.20676217731172777	-0.01418592674039866	[-0.21610424108720916,-1.3011277098689198,4.061188993985521]
0	10	87	95	1694	1702	0.9658211869225257	-0.2448822386088821	-0.08498308128954919	[-0.0017436157152422365,-2.380535986148953,6.839796245997117]
0	11	96	103	1432	1439	0.9887497906095081	-0.06097277511145999	0.13658759923529282	[-0.9984712941405804,-3.603943712126392,5.619074043575033]
0	12	104	125	1664	1685	0.937337109679748	-0.22332724033481335	-0.2674398746291445	[1.2909029003822188,-5.648993603860093,9.241648610432065]
0	13	133	139	1650	1656	-0.9345529376271788	0.33797468689314525	-0.11128305258165214	[-0.7029290729969087,-0.48642506905415034,4.425876701583799]
0	14	140	147	366	373	-0.8975437402079283	0.4400967055767946	0.02702080964766448	[0.652880719434248,0.9354689818052427,6.450294718831978]
0	15	148	155	1634	1641	-0.8274623490209739	0.5198939917392724	-0.21217044635409893	[1.3835165702744807,2.6001369675967374,0.9755727980064631]
0	16	156	162	605	611	-0.9339808755931492	0.3283137180738152	0.14103129635226927	[0.8832305604042237,0.691340424075245,4.239795864745813]
0	17	164	172	1617	1625	-0.9995917202986437	-0.02212365946656138	-0.01808138275148538	[0.005246003223059391,-0.892934332739275,0.8025444688903773]
0	18	173	180	841	848	-0.9905267968695465	0.12450234016694954	0.057929543208192796	[-0.02073633800979313,-0.47895162805191444,0.6747973121607798]
0	19	182	188	1601	1607	-0.9816871523574873	-0.12699772820674324	-0.14199264743842788	[0.3587794853728816,-0.4317661741957708,-2.0943048351116906]
0	20	189	196	1085	1092	-0.9934141742090505	0.07325222445644239	0.08810442720279685	[-0.2841117321292093,-0.7666809290976513,-2.5660406114566876]
0	21	197	205	1584	1592	-0.9302409662376654	-0.366916898686171	-0.004871775008876468	[-0.16977144951896442,0.4987915809350653,-5.1493968177237335]
0	22	206	212	1323	1329	-0.975763404060697	-0.18630227858882265	0.11479216126762946	[-0.5180808943734218,-0.991282536133652,-6.012628080679375]
0	23	214	238	1551	1575	-0.9141373078628277	-0.2847589590367913	0.28855730387842354	[-2.3919523392248485,-2.399038079170248,-9.94506262519844]
0	24	247	253	1536	1542	-0.8805660949789584	0.3763310365177854	-0.2880595482308427	[-5.276862607280067,-11.213487861986208,1.4810923379297938]
0	25	260	266	1523	1529	0.6219324273731209	0.32429302590443065	0.7127651009494825	[-10.582146357018344,2.0697088289578067,8.291915280197049]
0	26	267	274	493	500	0.7734437267860517	0.63096819063758	-0.06053052039130524	[-6.47097696723006,7.659407690355203,-2.8430935110027034]
