time	duplex	start1	end1	start2	end2	axisX	axisY	axisZ	hel_pos
0	0	0	21	2396	2417	-0.013599148677577685	-0.6117829157966084	-0.766918525973899	[17.407053752389416,17.41470953204014,16.506513174005292]
0	1	26	52	2365	2391	-0.13626241046750917	-0.14403783300183876	-0.9573325463095009	[18.71941109395302,10.560921788385034,7.745577252020982]
0	2	53	56	1985	1988	-0.3365551372329066	-0.027035886700114736	-0.9349120293903631	[15.210842262492074,10.01154855779182,-1.984563497806744]
0	3	57	72	2345	2360	-0.31407704101770745	0.4399388226865352	-0.8098151710160386	[14.67095313719741,10.086433490630633,-3.48952034537235]
0	4	81	98	2322	2339	-0.8000385778114001	-0.3102357312962833	-0.3894601612583124	[10.910278369149978,12.479537222940401,-10.935912257319085]
0	5	103	123	2297	2317	-0.8840801890744512	-0.29881432367370603	0.0426613140677077	[3.5365642649284394,9.079709286980542,-15.12935894643269]
0	6	124	129	633	638	-0.941326316579371	-0.26122342870443294	0.12103027532710153	[-4.095077518939128,6.56940936137592,-14.775372434168247]
0	7	130	147	2273	2290	-0.9502490651153905	0.07456971054577982	0.025010652122041063	[-6.795841212669066,7.460953916094194,-12.673914459601562]
0	8	158	175	2248	2265	-0.608686519871252	0.03864724186300256	0.7452011666151369	[-15.978282495543972,8.629998073618877,-11.511922516626601]
0	9	181	196	2227	2242	0.17237293043126373	-0.5693782231614228	0.7496309640055095	[-21.496398888529935,7.338227438321697,-5.277727345964225]
0	10	201	217	2206	2222	0.46587613546643075	-0.6783473088661803	0.48461441430771135	[-20.497406008557775,4.00501464912692,2.2397720760105284]
0	11	243	248	1497	1502	0.3203590548577334	-0.8839332805093172	0.2371301574053803	[-9.289047129616073,-3.552180821429257,7.105114513462054]
0	12	249	259	2161	2171	0.192662291545578	-0.8819453687068781	0.37347074761644106	[-6.769691535642294,-4.663247233658653,9.055730626965275]
0	13	264	280	2140	2156	0.4134091960274289	-0.7239795522082022	-0.3898535577140726	[-7.711421491759812,-10.89571410143401,10.356451501215304]
0	14	281	284	1461	1464	0.32245509465103733	-0.5284998246737603	-0.7812648213433854	[-2.452506488332178,-15.417258906467982,7.809906323171302]
0	15	285	299	2121	2135	0.5868297587293173	-0.3040881350280977	-0.6670549174385949	[-2.0259429291535285,-16.2166554329501,6.471390159597069]
0	16	305	319	2104	2118	0.463771705545075	0.6534274287000083	0.5360813903634912	[2.4196472391495334,-18.13149542642209,1.3780091653581867]
0	17	320	325	1645	1650	0.41635502933897434	0.6156625678134264	0.6596789172842967	[5.17418288230218,-14.162373556304393,4.6234771986697485]
0	18	326	339	2084	2097	0.4873596375459917	0.5621359283011993	0.6084938285353063	[8.16739277135429,-12.530347719712031,4.663443872509776]
0	19	341	346	1624	1629	0.10594035522570888	0.7474705165995468	0.6351160992018471	[10.876738717565384,-9.234971761906792,8.68142640021643]
0	20	350	357	2066	2073	0.14315983509153196	0.9134765901891772	0.29158218341416065	[9.627605781482549,-6.64518265011414,12.322464621376094]
0	21	358	361	1609	1612	-0.025864706802419524	0.8867708773064992	0.3825076922777047	[11.574077593391657,-3.167734506811147,11.480735313050058]
0	22	362	373	2050	2061	0.26456732446892306	0.8947882464482173	0.30306837261729114	[11.524538379562873,-1.6344285952273452,12.154692881488298]
0	23	391	400	2020	2029	0.7361104564093335	0.21018746200803384	-0.5517006274605247	[16.073619862860745,9.413154020841631,11.844984472018066]
0	24	401	404	2392	2395	-0.36404427664973443	-0.48275846512010895	-0.7847047114687347	[17.001820254489903,11.702937440201781,9.733904849412168]
0	25	405	431	1989	2015	-0.10447202015982024	-0.09278222557871409	-0.9289702049254202	[16.468141276552043,10.977224743193204,8.498708190886726]
0	26	436	457	1963	1984	-0.09176457011727548	-0.5342773566732305	-0.7893546803717081	[17.108444652674418,9.334442423837698,-3.6833992194207084]
0	27	458	467	1950	1959	0.0662712323883024	-0.8215490831831096	-0.5216803614730672	[16.304432376737342,4.504450976346739,-10.882173487968107]
0	28	474	488	1929	1943	-0.41933875452686975	-0.8231873500963368	0.17847828597971876	[14.808048142662606,-0.4413996608739584,-14.680703933826587]
0	29	489	494	1701	1706	-0.4114189526786336	-0.5198146825086623	0.7422839665778445	[12.208460332070615,-5.304704841046025,-13.244343462495944]
0	30	495	509	1908	1922	-0.5011788530315417	-0.34237924303881734	0.7571003455072829	[13.487388977784857,-7.296978143639854,-10.769989681463088]
0	31	510	515	1680	1685	-0.4414159806241743	-0.3275124156638446	0.8069446624241033	[10.451192242369547,-9.654573551547177,-6.150976918347345]
0	32	516	525	1892	1901	-0.4155612356083254	-0.10849207264973902	0.8918046692921013	[7.388850514563517,-8.913477773747523,-4.604393116951015]
0	33	532	555	1865	1888	-0.5922448601317375	0.09169486580175483	-0.7534030013377371	[3.837834630126483,-11.126772557652561,-0.6300625286289872]
0	34	557	561	1409	1413	-0.7088728165981912	0.2299931520962753	-0.6339411072440182	[-2.5136393900905976,-9.739615093320914,-7.9140229805213425]
0	35	562	586	1834	1858	-0.8197928177492112	0.45429417160978397	-0.14141588560781662	[-4.766182132186994,-11.667782577410406,-8.332064298378922]
0	36	587	592	1378	1383	-0.6190995216403425	0.7001581103872347	0.33007606240481974	[-13.224299925514956,-6.8009923931216845,-9.902012396321464]
0	37	593	603	1817	1827	-0.3861061835514469	0.8911158381524201	-0.10233420657808148	[-13.17991255518397,-3.8843438759730176,-10.59136951229729]
0	38	612	632	1791	1811	0.8017551983241944	0.48927165636761477	-0.1405533342161658	[-12.92646041557676,1.9699493953773577,-13.39301443817919]
0	39	639	659	1764	1784	0.9424728384029605	0.18600595576870962	0.01246514513019292	[-4.178539248458019,8.242053370606193,-13.307155043619066]
0	40	664	680	1743	1759	0.8816301864320555	-0.40914949694893915	0.061129099955616696	[5.393421154796767,8.46005336611714,-14.34790191563372]
0	41	684	698	1728	1742	0.6878230905913735	-0.6785312906790076	-0.16607255983383087	[11.488070956816603,5.6317711584725405,-13.810595802340035]
0	42	706	719	1707	1720	-0.4619435069236245	-0.7581762597605934	0.2793230617626966	[17.242630019428905,-1.440177933687246,-13.997935370534638]
0	43	720	725	1923	1928	-0.4418869034812145	-0.6348485767830226	0.623839596274794	[14.54856076510886,-5.760512519736175,-12.311368986934744]
0	44	726	739	1687	1700	-0.501369419603135	-0.324999739404387	0.7530979423263877	[11.306292508116485,-6.540509784498554,-11.330633720930297]
0	45	741	746	1902	1907	-0.3808112490694064	-0.1824240529630335	0.8831941927698196	[8.286449245148235,-8.376351744231716,-6.700704951063443]
0	46	747	762	1664	1679	-0.4147689827564758	-0.6681301018522307	0.5723465831549415	[9.32502965975063,-10.60176928007774,-4.416262784115465]
0	47	763	772	1651	1660	-0.0773472906226323	0.29777675872241294	0.9169548578323915	[6.685725238380979,-14.903382804932514,-0.41349777038631524]
0	48	773	778	2098	2103	0.5763300454339937	0.5182834204032745	0.6165713581400916	[6.698780223325042,-13.759089393847555,3.1959614659006617]
0	49	779	793	1630	1644	0.5043671703308602	0.518336843199752	0.6279205594434821	[6.130573761885959,-12.676246536026849,6.274892708137071]
0	50	794	799	2077	2082	0.4855772423528242	0.689543831451628	0.5127497063854216	[9.216881074483801,-9.386009446952265,10.144270973582472]
0	51	802	810	1613	1621	-0.06301363569613892	0.9508882395148537	0.1596930535128398	[11.832191359425021,-6.777151291265465,10.746304452935938]
0	52	811	814	2062	2065	-0.3006556531522313	0.9327189000416217	0.14989411726252977	[9.921466804754662,-3.7798624265929193,13.119419194641878]
0	53	815	831	1592	1608	-0.21035622521591416	0.9499356353295416	0.09825295213221424	[9.245503834725678,-2.278896232552569,13.367986918974196]
0	54	837	856	1570	1589	-0.8703541348030415	0.4062431274785239	0.16186187703425273	[6.900067033488892,4.896598215718606,13.965139528678886]
0	55	857	860	1190	1193	-0.9871960912140461	0.018668834323115693	0.1205848901626111	[-0.33259959867349576,10.288165464850852,14.050269411406065]
0	56	861	881	1545	1565	-0.9501896738995791	-0.19852900537805213	0.09016345282977764	[-1.9557876594012198,10.404266406408325,14.190409650618204]
0	57	882	887	1163	1168	-0.7996284210786323	-0.1994549516048954	-0.5509498221546291	[-9.987689988143723,8.751280109331127,14.860065544458067]
0	58	888	907	1519	1538	-0.02897326048957434	-0.46785622820402234	-0.7897646615864825	[-11.264358507787835,5.807329201467489,13.677607526792428]
0	59	914	925	1504	1515	0.5024837471754225	-0.7011057924414399	0.44421780318620047	[-10.502647223732614,0.961379996828023,6.23736201360977]
0	60	927	932	2172	2177	0.37627483486658886	-0.803390022486429	0.44957593573096394	[-7.780395101782486,-2.7040182649908733,8.095356642262015]
0	61	933	941	1488	1496	0.395824348197698	-0.8003102150387753	0.320982830238753	[-8.629127499568504,-5.772374586507912,7.794171928726229]
0	62	944	947	2157	2160	0.20170924487674977	-0.9013974114802655	0.3757173600874757	[-5.755680061754423,-8.69505014814203,10.748223066479419]
0	63	950	964	1465	1479	0.3463410357711042	-0.686415742147284	-0.6067254899125734	[-4.5055926254802365,-11.330564936952996,11.604034090256981]
0	64	965	968	2136	2139	0.351986633699738	-0.4518331305038197	-0.811216320052874	[-4.915045421020464,-15.909531792183895,7.65082537956641]
0	65	969	983	1446	1460	-0.01662152433995114	-0.40060183548824474	-0.8559022051682403	[-4.483334465229081,-16.648332068883036,6.271035781165731]
0	66	994	1007	1419	1432	-0.11906483147463737	0.8649556700879858	-0.4000248279004811	[-3.6906273716768325,-16.96776201336031,-3.0294014875943858]
0	67	1013	1017	1859	1863	-0.8991004995759733	-0.19437787674711307	-0.37115824196327074	[-2.9714585677181775,-11.23017242942607,-7.474646896438024]
0	68	1018	1041	1385	1408	-0.8309374695352956	0.30006091178806715	-0.2386519825471683	[-3.9276425650502134,-9.321187780970718,-9.097389399479635]
0	69	1043	1048	1828	1833	-0.5091064939353914	0.8478679983698655	0.06119596781523542	[-12.021812960724798,-5.862306903081761,-10.754483979448445]
0	70	1049	1064	1362	1377	-0.21021855051612712	0.8527283591294007	0.34863494818978213	[-14.770862576346225,-5.081988891913932,-9.108302905438759]
0	71	1067	1079	1344	1356	-0.3467925643773619	0.903950701306533	0.159429454869452	[-16.97538330571387,2.310150137192998,-6.234652842904749]
0	72	1086	1100	1323	1337	-0.15907955532702564	-0.5081687496783	0.7400187291217648	[-20.581718460904113,8.61769875090214,-4.035825958619791]
0	73	1103	1106	2223	2226	0.3054946872576588	-0.6853268040089816	0.6477880166400417	[-20.508083104845568,3.4829162055532166,-0.5864895240751613]
0	74	1107	1120	1303	1316	0.5565066552996528	-0.5434925737827567	0.5916627092631239	[-20.00403212907908,2.2770446754194578,0.47476962582633575]
0	75	1141	1162	1264	1285	0.2626208639993004	0.2954739773304099	0.8175401804474591	[-14.222549317196297,5.684307255957458,6.608591097605797]
0	76	1169	1189	1237	1257	0.9180060524030889	0.20079874109434917	-0.059819191921463157	[-9.49465436681455,6.493199788896052,15.730218873002121]
0	77	1194	1210	1216	1232	0.9653987109546526	0.0648620286675397	0.027464705717186927	[0.08876038609151592,10.284883034955493,13.938308234179178]
0	78	1233	1236	1566	1569	-0.9934826944196996	0.08087005104107689	0.06588611343986917	[-0.3529663061746965,8.112445916976878,15.191725075028737]
0	79	1258	1263	1539	1544	-0.642184638490613	-0.2661263032932313	-0.6849192643206904	[-9.824394066597238,6.363202752683538,15.4850678737463]
0	80	1785	1790	2291	2296	-0.9440353205267311	-0.2535785318439718	0.18930182991288763	[-4.582454692064253,8.130516484998964,-13.206702377949505]
