time	duplex	start1	end1	start2	end2	axisX	axisY	axisZ	hel_pos
0	0	0	4	7510	7514	0.825598229757742	-0.47008487733490817	0.2006635911514451	[-45.34428992202685,3.3793528751999427,-38.46170412636484]
0	1	5	9	3824	3828	0.5525497707034038	-0.8003116116709529	-0.21810094374540928	[-44.47511226702588,1.3945681385500122,-35.98431808686375]
0	2	10	15	7499	7504	0.6270288404510507	-0.7005596680599555	-0.3055095750262128	[-43.24182906210788,-0.32596321988013477,-36.50307450790049]
0	3	20	30	7488	7498	-0.11160516669382639	-0.03237409574373903	0.9496663499210889	[-41.77044787195867,-2.9104181739864607,-36.34762384611187]
0	4	31	34	5724	5727	-0.13739698293097766	0.05241868388739691	0.9859363861185874	[-39.97099609754993,-3.6934662923366384,-31.758540959890126]
0	5	35	62	7456	7483	-0.2811197493040244	0.09825304718316828	0.9120782891037552	[-40.21740426031066,-3.67489663356414,-30.1766251508625]
0	6	63	66	5692	5695	0.0610623034447298	0.3923182067151419	0.9099150976269232	[-45.55210877783523,-1.7707269811939403,-19.844776234838776]
0	7	67	82	7436	7451	-0.15906853063699897	0.30415430315042824	0.8868144300986263	[-45.51573775298944,-1.067490580315541,-18.396596859291726]
0	8	87	91	7431	7435	-0.5018061455774607	0.6920360745663121	0.4843135920320126	[-46.44096968520175,1.0183150421390685,-12.602535478144755]
0	9	92	98	113	119	-0.834949143394335	0.4867286682709185	0.19881822253507261	[-47.540080883340174,2.385419327020797,-11.647559247682464]
0	10	120	124	7398	7402	0.5491203067127265	-0.8181940712145108	0.13874767756351464	[-47.31957214174058,2.200889757607504,-9.320297020145784]
0	11	126	134	7384	7392	0.10553130329623799	0.15094269271099553	0.9465419370772739	[-45.33328383254073,1.2555260572022784,-7.310795006547494]
0	12	135	140	1103	1108	-0.14708102480950017	0.022658968193142316	0.9766008137051385	[-44.96045428451656,1.8915172069671558,-3.80220457883673]
0	13	141	172	7346	7377	0.12250730657124219	-0.019723059429617162	0.9446372490052249	[-43.08541801849702,0.9161281671949877,-1.0606867258939403]
0	14	173	176	1067	1070	0.015542206351095003	0.058873291231392434	0.991607028592329	[-43.61063080141834,1.7386920872138658,11.45187489923016]
0	15	177	187	7331	7341	-0.04162330430382345	0.04488456213130861	0.9752928889173367	[-43.55428758426868,1.8678701705342906,13.054861067758424]
0	16	188	193	7321	7326	-0.9372420265581015	-0.027806174083271334	0.3189632133594029	[-44.45814322179598,3.121417635244965,18.116488553587214]
0	17	194	198	215	219	-0.8819411735179689	0.4618352549293972	-0.03943769588774848	[-46.010002118372256,4.545795475468683,20.730040567776282]
0	18	199	203	7311	7315	-0.8576128958485298	0.45428883188675007	-0.15152514232766054	[-47.85097500436024,5.462539139187766,20.755560803483192]
0	19	210	214	7300	7304	0.7686331479406513	-0.15148651805169394	-0.588116612329806	[-49.74041539572433,3.7519023468387163,20.54106819230754]
0	20	220	225	7289	7294	0.7622041590273605	-0.6220008134820457	0.13515625680064708	[-45.65979005902017,4.401093756282043,20.694953126873294]
0	21	230	240	7278	7288	0.4285533112730344	-0.18521147507741867	0.8685336001243276	[-43.42756029689614,3.2537274025013856,21.24509010413442]
