time	duplex	start1	end1	start2	end2	axisX	axisY	axisZ	hel_pos
0	0	0	20	1793	1813	-0.2948207556382797	0.5963460964391188	0.6669939590803942	[-4.639062651588205,-9.469850079918071,-18.084658648924517]
0	1	22	25	1486	1489	-0.5544632138808385	0.04765442112157899	0.8080184090633179	[-8.04455707095708,-1.9660659139194476,-12.824526878836704]
0	2	26	34	1779	1787	-0.5592653722229104	0.079387403911894	0.7962138788650602	[-8.948033802532724,-1.8742563608280627,-11.508923516909908]
0	3	36	46	1767	1777	-0.49800423982223097	-0.02576426272556137	0.8556819291212312	[-10.970636309071875,-1.6862190560546888,-8.201140378329448]
0	4	47	52	1459	1464	-0.5754957022805335	0.0392017238436836	0.7995387332119857	[-13.204792491234144,-1.8346569801275276,-4.272386325408095]
0	5	53	73	1740	1760	-0.5203222037887372	-0.20718445923818485	0.7953029878981507	[-14.402185840129484,-3.8419830295130217,-2.16503495030599]
0	6	77	87	1729	1739	0.8727084340652936	-0.37740152078436023	0.2648088102877386	[-18.23050592886407,-5.804369515858943,5.645369615420109]
0	7	88	91	1041	1044	0.7464659134525441	-0.5684178690501037	0.31127954173295636	[-14.016050800319746,-6.131425645513197,8.756262686542271]
0	8	92	108	1708	1724	0.7508265173202937	-0.48299586141912115	0.4124662373332703	[-12.622739341369346,-7.074716279958938,9.076504341458236]
0	9	109	112	1020	1023	0.9528240436449962	-0.210109548309337	0.07935667192165795	[-7.917633029077656,-11.90196703139343,9.86277898284025]
0	10	113	129	1687	1703	0.958739816960204	-0.11643289257918152	-0.09273026383862643	[-6.403314047326063,-12.2726439219435,9.964611655113575]
0	11	130	133	999	1002	0.9463416428191848	0.10723882751425427	-0.28534902459697065	[0.6940020457291249,-11.589914815070099,11.188659258677228]
0	12	134	155	1661	1682	0.8865667888680371	0.2838392932326071	-0.2530157758047384	[2.32436583897731,-11.318183279816058,10.74217521814384]
0	13	156	172	1641	1657	0.4740011357615767	0.8508830308871912	-0.015756163834181457	[10.08172594432925,-8.348524976633865,8.333958699723265]
0	14	173	176	1184	1187	0.11684160139822451	0.9880586312095203	0.03634447163201233	[12.859249914042852,-2.4188456386160118,5.624954494753856]
0	15	177	187	1626	1636	-0.1825524071441063	0.9526089325792937	-0.1285094744387121	[13.022795205556925,-0.8318497240779511,5.670073614808107]
0	16	188	193	1167	1172	-0.13856494722618373	0.9818453178822623	-0.05909448909574568	[12.343970313606746,3.3144205714381876,5.164401838944558]
0	17	194	208	1605	1619	-0.1572165001237193	0.9358711758300812	0.05077498208724139	[12.656392922073922,5.9515531027545805,7.393360015662119]
0	18	209	213	1147	1151	-0.49435920180165605	0.8529887273817903	0.11003643329591795	[11.424433705505944,11.789008148664958,7.658196393138711]
0	19	215	223	1590	1598	0.041943487963343136	0.7948513155215384	-0.5337806559053471	[10.149265271531501,13.782998553962972,5.313301507630102]
0	20	228	242	1574	1588	-0.16492747248324288	-0.2411216352529382	-0.933126800051855	[10.15309729028072,16.678019457269716,2.4929873778894693]
0	21	243	248	1337	1342	-0.09919877433413082	-0.48262346854886207	-0.8584279189615909	[9.18365216540101,15.210193662443636,-3.055138073928501]
0	22	249	263	1553	1567	-0.14771082657589624	-0.4043188237572145	-0.8672654817479561	[6.618317474835896,13.399932908463276,-4.369187613694031]
0	23	264	269	1316	1321	-0.39408813644996954	-0.4870105977243324	-0.767155390547177	[5.643522726811655,10.863902111677646,-9.466450820001171]
0	24	270	284	1532	1546	-0.36187207414825334	-0.6951047911125244	-0.58538089431134	[6.698101971294165,10.274513262527979,-12.68888521131202]
0	25	285	290	1295	1300	-0.4101424951910474	-0.6341335365386582	-0.633686336946397	[4.263032366820166,6.154493277014995,-16.53346356242995]
0	26	291	306	1510	1525	-0.4939983939138423	-0.8107234411685733	-0.17089183127663485	[1.1734837466074182,4.671793414935141,-16.96425441708329]
0	27	307	323	1490	1506	-0.7101369910031521	-0.26636705724731014	0.6199030360107436	[-3.195313931065602,-0.2971205560326795,-17.272490501956746]
0	28	328	348	1465	1485	-0.5243885700588419	0.004398271943535962	0.8137153074529877	[-8.555980680158193,-4.298640721165331,-10.984454155298513]
0	29	349	354	1761	1766	-0.5414470745050319	0.12421382339506837	0.8209332911576892	[-13.075890064745716,-4.138393276794798,-4.025349021585467]
0	30	355	362	1451	1458	-0.45183330176471587	0.19682873519555125	0.8530363050832095	[-14.568102307760789,-1.6674810741937143,-2.2186458689296575]
0	31	364	381	1432	1449	-0.39871853807507734	0.37871762980547474	0.7877712791011134	[-16.2495498612503,-1.0125146825169178,0.9624592638867133]
0	32	385	401	1409	1425	0.8153104032254314	0.4546682975756707	-0.16237562678917208	[-16.806189507915498,2.813161613100643,6.9000913175213]
